ProvinceID,DistrictID,DistrictThaiShort,DistrictEngShort,DistrictCNT
10,1001,พระนคร,Phra Nakhon,12
10,1002,ดุสิต,Dusit,5
10,1003,หนองจอก,Nong Chok,8
10,1004,บางรัก,Bang Rak,5
10,1005,บางเขน,Bang Khen,2
10,1006,บางกะปิ,Bang Kapi,2
10,1007,ปทุมวัน,Pathum Wan,4
10,1008,ป้อมปราบศัตรูพ่าย,Pom Prap Sattru Phai,5
10,1009,พระโขนง,Phra Khanong,2
10,1010,มีนบุรี,Min Buri,2
10,1011,ลาดกระบัง,Lat Krabang,6
10,1012,ยานนาวา,Yan Nawa,2
10,1013,สัมพันธวงศ์,Samphanthawong,3
10,1014,พญาไท,Phaya Thai,2
10,1015,ธนบุรี,Thon Buri,7
10,1016,บางกอกใหญ่,Bangkok Yai,2
10,1017,ห้วยขวาง,Huai Khwang,3
10,1018,คลองสาน,Khlong San,4
10,1019,ตลิ่งชัน,Taling Chan,6
10,1020,บางกอกน้อย,Bangkok Noi,5
10,1021,บางขุนเทียน,Bang Khun Thian,2
10,1022,ภาษีเจริญ,Phasi Charoen,7
10,1023,หนองแขม,Nong Khaem,2
10,1024,ราษฎร์บูรณะ,Rat Burana,2
10,1025,บางพลัด,Bang Phlat,4
10,1026,ดินแดง,Din Daeng,2
10,1027,บึงกุ่ม,Bueng Kum,3
10,1028,สาทร,Sathon,3
10,1029,บางซื่อ,Bang Sue,2
10,1030,จตุจักร,Chatuchak,5
10,1031,บางคอแหลม,Bang Kho Laem,3
10,1032,ประเวศ,Prawet,3
10,1033,คลองเตย,Khlong Toei,3
10,1034,สวนหลวง,Suan Luang,3
10,1035,จอมทอง,Chom Thong,4
10,1036,ดอนเมือง,Don Mueang,3
10,1037,ราชเทวี,Ratchathewi,4
10,1038,ลาดพร้าว,Lat Phrao,2
10,1039,วัฒนา,Vadhana,3
10,1040,บางแค,Bang Khae,4
10,1041,หลักสี่,Lak Si,2
10,1042,สายไหม,Sai Mai,3
10,1043,คันนายาว,Khan Na Yao,2
10,1044,สะพานสูง,Saphan Sung,3
10,1045,วังทองหลาง,Wang Thonglang,4
10,1046,คลองสามวา,Khlong Sam Wa,5
10,1047,บางนา,Bang Na,2
10,1048,ทวีวัฒนา,Thawi Watthana,2
10,1049,ทุ่งครุ,Thung Khru,2
10,1050,บางบอน,Bang Bon,4
11,1101,เมืองสมุทรปราการ,Mueang Samut Prakan,13
11,1102,บางบ่อ,Bang Bo,8
11,1103,บางพลี,Bang Phli,6
11,1104,พระประแดง,Phra Pradaeng,15
11,1105,พระสมุทรเจดีย์,Phra Samut Chedi,5
11,1106,บางเสาธง,Bang Sao Thong,3
12,1201,เมืองนนทบุรี,Mueang Nonthaburi,10
12,1202,บางกรวย,Bang Kruai,9
12,1203,บางใหญ่,Bang Yai,6
12,1204,บางบัวทอง,Bang Bua Thong,8
12,1205,ไทรน้อย,Sai Noi,7
12,1206,ปากเกร็ด,Pak Kret,12
13,1301,เมืองปทุมธานี,Mueang Pathum Thani,14
13,1302,คลองหลวง,Khlong Luang,7
13,1303,ธัญบุรี,Thanyaburi,6
13,1304,หนองเสือ,Nong Suea,7
13,1305,ลาดหลุมแก้ว,Lat Lum Kaeo,7
13,1306,ลำลูกกา,Lam Luk Ka,8
13,1307,สามโคก,Sam Khok,11
14,1401,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,21
14,1402,ท่าเรือ,Tha Ruea,10
14,1403,นครหลวง,Nakhon Luang,12
14,1404,บางไทร,Bang Sai,23
14,1405,บางบาล,Bang Ban,16
14,1406,บางปะอิน,Bang Pa-in,18
14,1407,บางปะหัน,Bang Pahan,17
14,1408,ผักไห่,Phak Hai,16
14,1409,ภาชี,Phachi,8
14,1410,ลาดบัวหลวง,Lat Bua Luang,7
14,1411,วังน้อย,Wang Noi,10
14,1412,เสนา,Sena,17
14,1413,บางซ้าย,Bang Sai,6
14,1414,อุทัย,Uthai,11
14,1415,มหาราช,Maha Rat,12
14,1416,บ้านแพรก,Ban Phraek,5
15,1501,เมืองอ่างทอง,Mueang Ang Thong,14
15,1502,ไชโย,Chaiyo,9
15,1503,ป่าโมก,Pa Mok,8
15,1504,โพธิ์ทอง,Pho Thong,15
15,1505,แสวงหา,Sawaeng Ha,7
15,1506,วิเศษชัยชาญ,Wiset Chai Chan,15
15,1507,สามโก้,Samko,5
16,1601,เมืองลพบุรี,Mueang Lop Buri,24
16,1602,พัฒนานิคม,Phatthana Nikhom,9
16,1603,โคกสำโรง,Khok Samrong,13
16,1604,ชัยบาดาล,Chai Badan,17
16,1605,ท่าวุ้ง,Tha Wung,11
16,1606,บ้านหมี่,Ban Mi,22
16,1607,ท่าหลวง,Tha Luang,6
16,1608,สระโบสถ์,Sa Bot,5
16,1609,โคกเจริญ,Khok Charoen,5
16,1610,ลำสนธิ,Lam Sonthi,6
16,1611,หนองม่วง,Nong Muang,6
17,1701,เมืองสิงห์บุรี,Mueang Sing Buri,8
17,1702,บางระจัน,Bang Rachan,8
17,1703,ค่ายบางระจัน,Khai Bang Rachan,6
17,1704,พรหมบุรี,Phrom Buri,7
17,1705,ท่าช้าง,Tha Chang,4
17,1706,อินทร์บุรี,In Buri,10
18,1801,เมืองชัยนาท,Mueang Chai Nat,9
18,1802,มโนรมย์,Manorom,7
18,1803,วัดสิงห์,Wat Sing,7
18,1804,สรรพยา,Sapphaya,7
18,1805,สรรคบุรี,Sankhaburi,8
18,1806,หันคา,Hankha,8
18,1807,หนองมะโมง,Nong Mamong,4
18,1808,เนินขาม,Noen Kham,3
19,1901,เมืองสระบุรี,Mueang Saraburi,11
19,1902,แก่งคอย,Kaeng Khoi,14
19,1903,หนองแค,Nong Khae,18
