TambonID,PostCode,TambonThaiShort,DistrictThaiShort,ProvinceThai,Region
101301,10100,จักรวรรดิ,สัมพันธวงศ์,กรุงเทพมหานคร,ภาคกลาง
100804,10100,บ้านบาตร,ป้อมปราบศัตรูพ่าย,กรุงเทพมหานคร,ภาคกลาง
100801,10100,ป้อมปราบ,ป้อมปราบศัตรูพ่าย,กรุงเทพมหานคร,ภาคกลาง
101303,10100,ตลาดน้อย,สัมพันธวงศ์,กรุงเทพมหานคร,ภาคกลาง
100802,10100,วัดเทพศิรินทร์,ป้อมปราบศัตรูพ่าย,กรุงเทพมหานคร,ภาคกลาง
101302,10100,สัมพันธวงศ์,สัมพันธวงศ์,กรุงเทพมหานคร,ภาคกลาง
100803,10100,คลองมหานาค,ป้อมปราบศัตรูพ่าย,กรุงเทพมหานคร,ภาคกลาง
100805,10100,วัดโสมนัส,ป้อมปราบศัตรูพ่าย,กรุงเทพมหานคร,ภาคกลาง
103302,10110,คลองตัน,คลองเตย,กรุงเทพมหานคร,ภาคกลาง
103902,10110,คลองตันเหนือ,วัฒนา,กรุงเทพมหานคร,ภาคกลาง
103301,10110,คลองเตย,คลองเตย,กรุงเทพมหานคร,ภาคกลาง
103901,10110,คลองเตยเหนือ,วัฒนา,กรุงเทพมหานคร,ภาคกลาง
103303,10110,พระโขนง,คลองเตย,กรุงเทพมหานคร,ภาคกลาง
100702,10110,วังใหม่,ปทุมวัน,กรุงเทพมหานคร,ภาคกลาง
103903,10110,พระโขนงเหนือ,วัฒนา,กรุงเทพมหานคร,ภาคกลาง
101203,10120,ช่องนนทรี,ยานนาวา,กรุงเทพมหานคร,ภาคกลาง
101204,10120,บางโพงพาง,ยานนาวา,กรุงเทพมหานคร,ภาคกลาง
103103,10120,บางโคล่,บางคอแหลม,กรุงเทพมหานคร,ภาคกลาง
102801,10120,ทุ่งวัดดอน,สาทร,กรุงเทพมหานคร,ภาคกลาง
102802,10120,ยานนาวา,สาทร,กรุงเทพมหานคร,ภาคกลาง
102803,10120,ทุ่งมหาเมฆ,สาทร,กรุงเทพมหานคร,ภาคกลาง
103101,10120,บางคอแหลม,บางคอแหลม,กรุงเทพมหานคร,ภาคกลาง
103102,10120,วัดพระยาไกร,บางคอแหลม,กรุงเทพมหานคร,ภาคกลาง
100702,10120,วังใหม่,ปทุมวัน,กรุงเทพมหานคร,ภาคกลาง
110406,10130,บางหัวเสือ,พระประแดง,สมุทรปราการ,ภาคกลาง
110414,10130,สำโรง,พระประแดง,สมุทรปราการ,ภาคกลาง
110413,10130,ทรงคนอง,พระประแดง,สมุทรปราการ,ภาคกลาง
110402,10130,บางพึ่ง,พระประแดง,สมุทรปราการ,ภาคกลาง
110412,10130,บางกอบัว,พระประแดง,สมุทรปราการ,ภาคกลาง
110404,10130,บางครุ,พระประแดง,สมุทรปราการ,ภาคกลาง
110411,10130,บางกระสอบ,พระประแดง,สมุทรปราการ,ภาคกลาง
110407,10130,สำโรงใต้,พระประแดง,สมุทรปราการ,ภาคกลาง
110410,10130,บางน้ำผึ้ง,พระประแดง,สมุทรปราการ,ภาคกลาง
110409,10130,บางกะเจ้า,พระประแดง,สมุทรปราการ,ภาคกลาง
110408,10130,บางยอ,พระประแดง,สมุทรปราการ,ภาคกลาง
110403,10130,บางจาก,พระประแดง,สมุทรปราการ,ภาคกลาง
110405,10130,บางหญ้าแพรก,พระประแดง,สมุทรปราการ,ภาคกลาง
110401,10130,ตลาด,พระประแดง,สมุทรปราการ,ภาคกลาง
110415,10130,สำโรงกลาง,พระประแดง,สมุทรปราการ,ภาคกลาง
102401,10140,ราษฎร์บูรณะ,ราษฎร์บูรณะ,กรุงเทพมหานคร,ภาคกลาง
102402,10140,บางปะกอก,ราษฎร์บูรณะ,กรุงเทพมหานคร,ภาคกลาง
104902,10140,ทุ่งครุ,ทุ่งครุ,กรุงเทพมหานคร,ภาคกลาง
104901,10140,บางมด,ทุ่งครุ,กรุงเทพมหานคร,ภาคกลาง
102107,10150,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,ภาคกลาง
105005,10150,คลองบางบอน,บางบอน,กรุงเทพมหานคร,ภาคกลาง
105004,10150,คลองบางพราน,บางบอน,กรุงเทพมหานคร,ภาคกลาง
105003,10150,บางบอนใต้,บางบอน,กรุงเทพมหานคร,ภาคกลาง
103504,10150,จอมทอง,จอมทอง,กรุงเทพมหานคร,ภาคกลาง
105002,10150,บางบอนเหนือ,บางบอน,กรุงเทพมหานคร,ภาคกลาง
103503,10150,บางมด,จอมทอง,กรุงเทพมหานคร,ภาคกลาง
103502,10150,บางค้อ,จอมทอง,กรุงเทพมหานคร,ภาคกลาง
103501,10150,บางขุนเทียน,จอมทอง,กรุงเทพมหานคร,ภาคกลาง
102105,10150,ท่าข้าม,บางขุนเทียน,กรุงเทพมหานคร,ภาคกลาง
102209,10160,ปากคลองภาษีเจริญ,ภาษีเจริญ,กรุงเทพมหานคร,ภาคกลาง
102201,10160,บางหว้า,ภาษีเจริญ,กรุงเทพมหานคร,ภาคกลาง
104004,10160,หลักสอง,บางแค,กรุงเทพมหานคร,ภาคกลาง
104003,10160,บางไผ่,บางแค,กรุงเทพมหานคร,ภาคกลาง
104002,10160,บางแคเหนือ,บางแค,กรุงเทพมหานคร,ภาคกลาง
104001,10160,บางแค,บางแค,กรุงเทพมหานคร,ภาคกลาง
102208,10160,คลองขวาง,ภาษีเจริญ,กรุงเทพมหานคร,ภาคกลาง
102202,10160,บางด้วน,ภาษีเจริญ,กรุงเทพมหานคร,ภาคกลาง
102302,10160,หนองแขม,หนองแขม,กรุงเทพมหานคร,ภาคกลาง
102206,10160,บางจาก,ภาษีเจริญ,กรุงเทพมหานคร,ภาคกลาง
102303,10160,หนองค้างพลู,หนองแขม,กรุงเทพมหานคร,ภาคกลาง
102207,10160,บางแวก,ภาษีเจริญ,กรุงเทพมหานคร,ภาคกลาง
102210,10160,คูหาสวรรค์,ภาษีเจริญ,กรุงเทพมหานคร,ภาคกลาง
104802,10170,ศาลาธรรมสพน์,ทวีวัฒนา,กรุงเทพมหานคร,ภาคกลาง
101905,10170,บางระมาด,ตลิ่งชัน,กรุงเทพมหานคร,ภาคกลาง
104801,10170,ทวีวัฒนา,ทวีวัฒนา,กรุงเทพมหานคร,ภาคกลาง
101907,10170,บางเชือกหนัง,ตลิ่งชัน,กรุงเทพมหานคร,ภาคกลาง
101902,10170,ตลิ่งชัน,ตลิ่งชัน,กรุงเทพมหานคร,ภาคกลาง
101901,10170,คลองชักพระ,ตลิ่งชัน,กรุงเทพมหานคร,ภาคกลาง
101903,10170,ฉิมพลี,ตลิ่งชัน,กรุงเทพมหานคร,ภาคกลาง
101904,10170,บางพรม,ตลิ่งชัน,กรุงเทพมหานคร,ภาคกลาง
100101,10200,พระบรมมหาราชวัง,พระนคร,กรุงเทพมหานคร,ภาคกลาง
100108,10200,ตลาดยอด,พระนคร,กรุงเทพมหานคร,ภาคกลาง
100107,10200,บวรนิเวศ,พระนคร,กรุงเทพมหานคร,ภาคกลาง
100106,10200,เสาชิงช้า,พระนคร,กรุงเทพมหานคร,ภาคกลาง
100105,10200,ศาลเจ้าพ่อเสือ,พระนคร,กรุงเทพมหานคร,ภาคกลาง
100111,10200,บางขุนพรหม,พระนคร,กรุงเทพมหานคร,ภาคกลาง
100112,10200,วัดสามพระยา,พระนคร,กรุงเทพมหานคร,ภาคกลาง
100104,10200,สำราญราษฎร์,พระนคร,กรุงเทพมหานคร,ภาคกลาง
100110,10200,บ้านพานถม,พระนคร,กรุงเทพมหานคร,ภาคกลาง
100109,10200,ชนะสงคราม,พระนคร,กรุงเทพมหานคร,ภาคกลาง
100103,10200,วัดราชบพิธ,พระนคร,กรุงเทพมหานคร,ภาคกลาง
100102,10200,วังบูรพาภิรมย์,พระนคร,กรุงเทพมหานคร,ภาคกลาง
103602,10210,สีกัน,ดอนเมือง,กรุงเทพมหานคร,ภาคกลาง
103605,10210,สนามบิน,ดอนเมือง,กรุงเทพมหานคร,ภาคกลาง
