ProvinceID,ProvinceThai,ProvinceEng,Region
10,กรุงเทพมหานคร,Bangkok,ภาคกลาง
11,สมุทรปราการ,Samut Prakan,ภาคกลาง
12,นนทบุรี,Nonthaburi,ภาคกลาง
13,ปทุมธานี,Pathum Thani,ภาคกลาง
14,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,ภาคกลาง
15,อ่างทอง,Ang Thong,ภาคกลาง
16,ลพบุรี,Lop Buri,ภาคกลาง
17,สิงห์บุรี,Sing Buri,ภาคกลาง
18,ชัยนาท,Chai Nat,ภาคกลาง
19,สระบุรี,Saraburi,ภาคกลาง
20,ชลบุรี,Chon Buri,ภาคตะวันออก
21,ระยอง,Rayong,ภาคตะวันออก
22,จันทบุรี,Chanthaburi,ภาคตะวันออก
23,ตราด,Trat,ภาคตะวันออก
24,ฉะเชิงเทรา,Chachoengsao,ภาคตะวันออก
25,ปราจีนบุรี,Prachin Buri,ภาคตะวันออก
26,นครนายก,Nakhon Nayok,ภาคกลาง
27,สระแก้ว,Sa kaeo,ภาคตะวันออก
30,นครราชสีมา,Nakhon Ratchasima,ภาคตะวันออกเฉียงเหนือ
31,บุรีรัมย์,Buri Ram,ภาคตะวันออกเฉียงเหนือ
32,สุรินทร์,Surin,ภาคตะวันออกเฉียงเหนือ
33,ศรีสะเกษ,Si Sa Ket,ภาคตะวันออกเฉียงเหนือ
34,อุบลราชธานี,Ubon Ratchathani,ภาคตะวันออกเฉียงเหนือ
35,ยโสธร,Yasothon,ภาคตะวันออกเฉียงเหนือ
36,ชัยภูมิ,Chaiyaphum,ภาคตะวันออกเฉียงเหนือ
37,อำนาจเจริญ,Amnat Charoen,ภาคตะวันออกเฉียงเหนือ
38,บึงกาฬ,Bueng Kan,ภาคตะวันออกเฉียงเหนือ
39,หนองบัวลำภู,Nong Bua Lam Phu,ภาคตะวันออกเฉียงเหนือ
40,ขอนแก่น,Khon Kaen,ภาคตะวันออกเฉียงเหนือ
41,อุดรธานี,Udon Thani,ภาคตะวันออกเฉียงเหนือ
42,เลย,Loei,ภาคตะวันออกเฉียงเหนือ
43,หนองคาย,Nong Khai,ภาคตะวันออกเฉียงเหนือ
44,มหาสารคาม,Maha Sarakham,ภาคตะวันออกเฉียงเหนือ
45,ร้อยเอ็ด,Roi Et,ภาคตะวันออกเฉียงเหนือ
46,กาฬสินธุ์,Kalasin,ภาคตะวันออกเฉียงเหนือ
47,สกลนคร,Sakon Nakhon,ภาคตะวันออกเฉียงเหนือ
48,นครพนม,Nakhon Phanom,ภาคตะวันออกเฉียงเหนือ
49,มุกดาหาร,Mukdahan,ภาคตะวันออกเฉียงเหนือ
50,เชียงใหม่,Chiang Mai,ภาคเหนือ
51,ลำพูน,Lamphun,ภาคเหนือ
52,ลำปาง,Lampang,ภาคเหนือ
53,อุตรดิตถ์,Uttaradit,ภาคเหนือ
54,แพร่,Phrae,ภาคเหนือ
55,น่าน,Nan,ภาคเหนือ
56,พะเยา,Phayao,ภาคเหนือ
57,เชียงราย,Chiang Rai,ภาคเหนือ
58,แม่ฮ่องสอน,Mae Hong Son,ภาคเหนือ
60,นครสวรรค์,Nakhon Sawan,ภาคกลาง
61,อุทัยธานี,Uthai Thani,ภาคกลาง
62,กำแพงเพชร,Kamphaeng Phet,ภาคกลาง
63,ตาก,Tak,ภาคตะวันตก
64,สุโขทัย,Sukhothai,ภาคกลาง
65,พิษณุโลก,Phitsanulok,ภาคกลาง
66,พิจิตร,Phichit,ภาคกลาง
67,เพชรบูรณ์,Phetchabun,ภาคกลาง
70,ราชบุรี,Ratchaburi,ภาคตะวันตก
71,กาญจนบุรี,Kanchanaburi,ภาคตะวันตก
72,สุพรรณบุรี,Suphan Buri,ภาคกลาง
73,นครปฐม,Nakhon Pathom,ภาคกลาง
74,สมุทรสาคร,Samut Sakhon,ภาคกลาง
75,สมุทรสงคราม,Samut Songkhram,ภาคกลาง
76,เพชรบุรี,Phetchaburi,ภาคตะวันตก
77,ประจวบคีรีขันธ์,Prachuap Khiri Khan,ภาคตะวันตก
80,นครศรีธรรมราช,Nakhon Si Thammarat,ภาคใต้
81,กระบี่,Krabi,ภาคใต้
82,พังงา,Phangnga,ภาคใต้
83,ภูเก็ต,Phuket,ภาคใต้
84,สุราษฎร์ธานี,Surat Thani,ภาคใต้
85,ระนอง,Ranong,ภาคใต้
86,ชุมพร,Chumphon,ภาคใต้
90,สงขลา,Songkhla,ภาคใต้
91,สตูล,Satun,ภาคใต้
92,ตรัง,Trang,ภาคใต้
93,พัทลุง,Phatthalung,ภาคใต้
94,ปัตตานี,Pattani,ภาคใต้
95,ยะลา,Yala,ภาคใต้
96,นราธิวาส,Narathiwat,ภาคใต้
